smiles,logSolubility
Clc1ccc(Cl)c(c1)c2ccc(Cl)c(Cl)c2,-7.25
CNC(=O)Oc1ccccc1C2OCCO2,-1.57
ClC(=C(Cl)Cl)Cl,-2.54
O=C1NC(=O)NC(=O)C1(C)CC,-1.228
CCNc1nc(NC(C)C)nc(SC)n1,-3.04
Cc1cccc(C)c1O,-1.29
CC1OC(CC(O)C1O)OC2C(O)CC(OC2C)OC8C(O)CC(OC7CCC3(C)C(CCC4C3CC(O)C5(C)C(CCC45O)C6=CC(=O)OC6)C7)OC8C,-4.081
CC(=C)C(=C)C,-2.4
Cc1cccc(N)c1,-0.85
CCCCCCCCCC(=O)OC,-4.69
Cc1ccccc1C,-2.8
Sc1nccc(=O)[nH]1,-2.273
ClCC(C)C,-2.0
CN(C)C(=O)Nc1ccc(C)c(Cl)c1,-3.483
CCCCCC=C,-3.73
CN(C)C(=O)Nc1ccc(c(Cl)c1)n2nc(oc2=O)C(C)(C)C,-4.328
Fc1cccc(Br)c1,-2.67
CCCCOCCO,-0.42
CC(C)C=C,-2.73
CC12CC(O)C3C(CCC4=CC(=O)C=CC34C)C2CCC1(O)C(=O)CO,-3.18
CC1(OC(=O)N(C1=O)c2cc(Cl)cc(Cl)c2)C=C,-4.925
C1CCCCCCC1,-4.15
Clc1cc(Cl)c(cc1Cl)c2cccc(Cl)c2Cl,-7.21
Brc1ccc(Br)cc1,-4.07
O=C1N(C2CCC(=O)NC2=O)C(=O)c3ccccc13,-2.676
CCCCc1c(C)nc(nc1O)N(C)C,-2.24
CCCC(O)CC,-0.8
c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,-8.804
CCOP(=S)(OCC)ON=C(C#N)c1ccccc1,-4.862
CC(=C)C,-2.33
CCCC(C)(C)CO,-1.52
CCN(CC)C(=O)C(C)Oc1cccc2ccccc12,-3.57
Cc1ccccc1N(=O)=O,-2.33
CCCCCC(=O)OC,-1.87
Clc1ccc(c(Cl)c1)c2ccc(Cl)c(Cl)c2Cl,-7.8
Cn2cc(c1ccccc1)c(=O)c(c2)c3cccc(c3)C(F)(F)F,-4.445
CCCCCCC(=O)OCC,-2.74
CSSC,-1.44
COC(=O)c1ccccc1C(=O)OC,-1.66
CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-3.817
CC34CCc1c(ccc2cc(O)ccc12)C3CCC4=O,-5.24
CCCN(=O)=O,-0.8
Cc1ccc(cc1)S(=O)(=O)N,-1.74
CC(=O)Nc1ccc(Cl)cc1,-2.843
Cc2cnc1cncnc1n2,-0.8540000000000001
CC12CCC3C(CCC4=CC(=O)CCC34C)C2CCC1O,-4.02
FC(F)(F)c1cccc(c1)N2CC(CCl)C(Cl)C2=O,-4.047
COC(=O)C,0.46
CCC#CCC,-1.99
Clc1ccc(Cl)c(c1)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl,-8.94
Oc2cc(O)c1C(=O)CC(Oc1c2)c3ccc(O)c(O)c3,-3.62
ClC(Cl)(Cl)N(=O)=O,-2.0
CCOP(=S)(OCC)Oc1ccc(cc1)S(C)=O,-2.3
Cc1cc(C)c(C)cc1C,-4.59
CCC(C)C,-3.18
CC(C)(C)CO,-0.4
Oc1cc(Cl)c(Cl)cc1Cl,-2.21
c1ccc2c(c1)[nH]c3ccccc32,-5.27
c1ccnnc1,1.1
CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,-3.36
CCCOC(=O)CCC,-1.75
c1ccc2c3c(ccc2c1)c4cccc5cccc3c45,-8.0
c1ccc2cnccc2c1,-1.45
Oc1c(Cl)cccc1Cl,-1.79
CCCI,-2.29
CCOc1ccc(NC(=O)C)cc1,-2.35
COc1ccc(cc1)N(=O)=O,-2.41
O=C(Nc1ccccc1)Nc2ccccc2,-3.15
CCCCCCCCCCCC(=O)OC,-4.69
CCCCN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-4.77
CCCCCCCC(=O)OCC,-3.39
O=C1N(COC(=O)CCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-5.886
CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C,-4.15
Cc3nnc4CN=C(c1ccccc1Cl)c2cc(Cl)ccc2n34,-4.09
CC(=O)OCC(=O)C3(O)CCC4C2CCC1=CC(=O)C=CC1(C)C2C(O)CC34C,-4.37
CNC(=O)Oc1ccc(N(C)C)c(C)c1,-2.36
C=CC#N,0.15
