smiles,freesolv
NN,-9.3
COP(=O)([C@H](C(Cl)(Cl)Cl)O)OC,-12.74
c1cc(ccc1O)F,-6.19
CC(C)(/C=N\OC(=O)NC)SC,-9.84
Cc1ccccc1C,-0.9
c1cc(cc(c1)Cl)N,-5.82
C1CNC1,-5.56
C(CBr)Br,-2.33
c1ccc2c(c1)Oc3cccc(c3O2)Cl,-3.52
CCCCCCN,-3.95
CCCOC(=O)C,-2.79
CC(Cl)Cl,-0.84
CCCOCCC,-1.16
CC(=O)O,-6.69
Cc1ccc(c(c1)OC)O,-5.8
c1ccc(cc1)O,-6.6
c1cc2c(cc1Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,-4.15
C(C(Cl)(Cl)Cl)(Cl)Cl,-1.23
c1ccc(cc1)c2ccccc2,-2.7
CC[C@H](C(C)C)O,-3.88
CCCCCCCCBr,0.52
c1ccc2c(c1)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,-3.81
C1=CC(=O)C=CC1=O,-6.5
CCCC[N+](=O)[O-],-3.09
c1ccc2c(c1)Cc3ccccc3C2,-3.78
CC(=CCC/C(=C/CO)/C)C,-4.45
CCOC(=O)CC(=O)OCC,-6.0
c1ccc2cc(ccc2c1)O,-8.11
C(C(F)(F)F)Cl,0.06
C(Cl)(Cl)Cl,-1.08
Cc1cccc2c1cccc2,-2.44
CC(C)CCC(C)(C)C,2.93
COc1cccc(c1O)OC,-6.96
c1ccc2cc(ccc2c1)N,-7.47
c1c(c(=O)[nH]c(=O)[nH]1)F,-16.92
C[C@@H](CCO[N+](=O)[O-])O[N+](=O)[O-],-4.29
CCSSCC,-1.64
CC1CCCCC1,1.7
CC[C@@H](C)C(C)C,2.52
CC(C)CC(=O)C,-3.05
c1cc(c(c(c1)Cl)Cl)Cl,-1.24
CCN(CC)c1c(cc(c(c1[N+](=O)[O-])N)C(F)(F)F)[N+](=O)[O-],-5.66
CCCC[N@](CC)c1c(cc(cc1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],-3.51
CCC=C,1.38
c1cc(c(c(c1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl)Cl,-4.4
Cc1ccc(cc1)C(C)C,-0.68
Cc1cccc(c1)O,-5.49
C[C@@H]1CC[C@H](C(=O)C1)C(C)C,-2.53
CCCCOC(=O)c1ccc(cc1)O,-8.72
c1c(=O)[nH]c(=O)[nH]c1Cl,-15.83
CCCCCOC(=O)C,-2.51
CCc1cccc(c1)O,-6.25
CC(=O)OCC(COC(=O)C)OC(=O)C,-8.84
Cc1ccc(c2c1cccc2)C,-2.82
Cc1cc(cc(c1)O)C,-6.27
C=CCCC=C,1.01
c1ccc(c(c1)[N+](=O)[O-])O,-4.58
CC(C)(C)C,2.51
CCCCCCC=O,-2.67
C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O)O,-25.47
CCO,-5.0
c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)c2c(c(c(c(c2Cl)Cl)Cl)Cl)Cl,-2.98
